Spot index;x;y
1633044;5824.734375;-28904.533203125
1633045;5844.734375;-28904.533203125
1633046;5744.734375;-28924.533203125
1633047;5764.734375;-28924.533203125
1633048;5784.734375;-28924.533203125
1633049;5804.734375;-28924.533203125
1633050;5824.734375;-28924.533203125
1633051;5844.734375;-28924.533203125
1633052;5864.734375;-28924.533203125
1633053;5704.734375;-28944.533203125
1633054;5724.734375;-28944.533203125
1633055;5744.734375;-28944.533203125
1633056;5764.734375;-28944.533203125
1633057;5784.734375;-28944.533203125
1633058;5804.734375;-28944.533203125
1633059;5824.734375;-28944.533203125
1633060;5844.734375;-28944.533203125
1633061;5864.734375;-28944.533203125
1633062;5884.734375;-28944.533203125
1633063;5644.734375;-28964.533203125
1633064;5664.734375;-28964.533203125
1633065;5684.734375;-28964.533203125
1633066;5704.734375;-28964.533203125
1633067;5724.734375;-28964.533203125
1633068;5744.734375;-28964.533203125
1633069;5764.734375;-28964.533203125
1633070;5784.734375;-28964.533203125
1633071;5804.734375;-28964.533203125
1633072;5824.734375;-28964.533203125
1633073;5844.734375;-28964.533203125
1633074;5864.734375;-28964.533203125
1633075;5884.734375;-28964.533203125
1633076;5904.734375;-28964.533203125
1633077;5604.734375;-28984.533203125
1633078;5624.734375;-28984.533203125
1633079;5644.734375;-28984.533203125
1633080;5664.734375;-28984.533203125
1633081;5684.734375;-28984.533203125
1633082;5704.734375;-28984.533203125
1633083;5724.734375;-28984.533203125
1633084;5744.734375;-28984.533203125
1633085;5764.734375;-28984.533203125
1633086;5784.734375;-28984.533203125
1633087;5804.734375;-28984.533203125
1633088;5824.734375;-28984.533203125
1633089;5844.734375;-28984.533203125
1633090;5864.734375;-28984.533203125
1633091;5884.734375;-28984.533203125
1633092;5904.734375;-28984.533203125
1633093;5924.734375;-28984.533203125
1633094;5524.734375;-29004.533203125
1633095;5544.734375;-29004.533203125
1633096;5564.734375;-29004.533203125
1633097;5584.734375;-29004.533203125
1633098;5604.734375;-29004.533203125
1633099;5624.734375;-29004.533203125
1633100;5644.734375;-29004.533203125
1633101;5664.734375;-29004.533203125
1633102;5684.734375;-29004.533203125
1633103;5704.734375;-29004.533203125
1633104;5724.734375;-29004.533203125
1633105;5744.734375;-29004.533203125
1633106;5764.734375;-29004.533203125
1633107;5784.734375;-29004.533203125
1633108;5804.734375;-29004.533203125
1633109;5824.734375;-29004.533203125
1633110;5844.734375;-29004.533203125
1633111;5864.734375;-29004.533203125
1633112;5884.734375;-29004.533203125
1633113;5904.734375;-29004.533203125
1633114;5924.734375;-29004.533203125
1633115;5944.734375;-29004.533203125
1633116;5484.734375;-29024.533203125
1633117;5504.734375;-29024.533203125
1633118;5524.734375;-29024.533203125
1633119;5544.734375;-29024.533203125
1633120;5564.734375;-29024.533203125
1633121;5584.734375;-29024.533203125
1633122;5604.734375;-29024.533203125
1633123;5624.734375;-29024.533203125
1633124;5644.734375;-29024.533203125
1633125;5664.734375;-29024.533203125
1633126;5684.734375;-29024.533203125
1633127;5704.734375;-29024.533203125
1633128;5724.734375;-29024.533203125
1633129;5744.734375;-29024.533203125
1633130;5764.734375;-29024.533203125
1633131;5784.734375;-29024.533203125
1633132;5804.734375;-29024.533203125
1633133;5824.734375;-29024.533203125
1633134;5844.734375;-29024.533203125
1633135;5864.734375;-29024.533203125
1633136;5884.734375;-29024.533203125
1633137;5904.734375;-29024.533203125
1633138;5924.734375;-29024.533203125
1633139;5944.734375;-29024.533203125
1633140;5964.734375;-29024.533203125
1633141;5444.734375;-29044.533203125
1633142;5464.734375;-29044.533203125
1633143;5484.734375;-29044.533203125
1633144;5504.734375;-29044.533203125
1633145;5524.734375;-29044.533203125
1633146;5544.734375;-29044.533203125
1633147;5564.734375;-29044.533203125
1633148;5584.734375;-29044.533203125
1633149;5604.734375;-29044.533203125
1633150;5624.734375;-29044.533203125
1633151;5644.734375;-29044.533203125
1633152;5664.734375;-29044.533203125
1633153;5684.734375;-29044.533203125
1633154;5704.734375;-29044.533203125
1633155;5724.734375;-29044.533203125
1633156;5744.734375;-29044.533203125
1633157;5764.734375;-29044.533203125
1633158;5784.734375;-29044.533203125
1633159;5804.734375;-29044.533203125
1633160;5824.734375;-29044.533203125
1633161;5844.734375;-29044.533203125
1633162;5864.734375;-29044.533203125
1633163;5884.734375;-29044.533203125
1633164;5904.734375;-29044.533203125
1633165;5924.734375;-29044.533203125
1633166;5944.734375;-29044.533203125
1633167;5964.734375;-29044.533203125
1633168;5984.734375;-29044.533203125
1633169;5404.734375;-29064.533203125
1633170;5424.734375;-29064.533203125
1633171;5444.734375;-29064.533203125
1633172;5464.734375;-29064.533203125
1633173;5484.734375;-29064.533203125
1633174;5504.734375;-29064.533203125
1633175;5524.734375;-29064.533203125
1633176;5544.734375;-29064.533203125
1633177;5564.734375;-29064.533203125
1633178;5584.734375;-29064.533203125
1633179;5604.734375;-29064.533203125
1633180;5624.734375;-29064.533203125
1633181;5644.734375;-29064.533203125
1633182;5664.734375;-29064.533203125
1633183;5684.734375;-29064.533203125
1633184;5704.734375;-29064.533203125
1633185;5724.734375;-29064.533203125
1633186;5744.734375;-29064.533203125
1633187;5764.734375;-29064.533203125
1633188;5784.734375;-29064.533203125
1633189;5804.734375;-29064.533203125
1633190;5824.734375;-29064.533203125
1633191;5844.734375;-29064.533203125
1633192;5864.734375;-29064.533203125
1633193;5884.734375;-29064.533203125
1633194;5904.734375;-29064.533203125
1633195;5924.734375;-29064.533203125
1633196;5944.734375;-29064.533203125
1633197;5964.734375;-29064.533203125
1633198;5984.734375;-29064.533203125
1633199;6004.734375;-29064.533203125
1633200;5364.734375;-29084.533203125
1633201;5384.734375;-29084.533203125
1633202;5404.734375;-29084.533203125
1633203;5424.734375;-29084.533203125
1633204;5444.734375;-29084.533203125
1633205;5464.734375;-29084.533203125
1633206;5484.734375;-29084.533203125
1633207;5504.734375;-29084.533203125
1633208;5524.734375;-29084.533203125
1633209;5544.734375;-29084.533203125
1633210;5564.734375;-29084.533203125
1633211;5584.734375;-29084.533203125
1633212;5604.734375;-29084.533203125
1633213;5624.734375;-29084.533203125
1633214;5644.734375;-29084.533203125
1633215;5664.734375;-29084.533203125
1633216;5684.734375;-29084.533203125
1633217;5704.734375;-29084.533203125
1633218;5724.734375;-29084.533203125
1633219;5744.734375;-29084.533203125
1633220;5764.734375;-29084.533203125
1633221;5784.734375;-29084.533203125
1633222;5804.734375;-29084.533203125
1633223;5824.734375;-29084.533203125
1633224;5844.734375;-29084.533203125
1633225;5864.734375;-29084.533203125
1633226;5884.734375;-29084.533203125
1633227;5904.734375;-29084.533203125
1633228;5924.734375;-29084.533203125
1633229;5944.734375;-29084.533203125
1633230;5964.734375;-29084.533203125
1633231;5984.734375;-29084.533203125
1633232;6004.734375;-29084.533203125
1633233;5324.734375;-29104.533203125
1633234;5344.734375;-29104.533203125
1633235;5364.734375;-29104.533203125
1633236;5384.734375;-29104.533203125
1633237;5404.734375;-29104.533203125
1633238;5424.734375;-29104.533203125
1633239;5444.734375;-29104.533203125
